longitude	latitude
102.24	26.66
102.25	26.66
102.26	26.67
101.97	26.17
102.32	26.35
102.37	26.35
102.25	27.08
102	26.32
102.01	26.28
102.35	26.32
102.26	27.06
102.32	26.47
102.08	26.41
102.19	26.39
102.28	26.66
101.97	26.28
102	26.37
102.25	26.65
102.35	26.63
102.4	26.56
102.09	28.07
102.42	26.52
102.17	28.33
102.18	28.47
102.18	28.54
102.22	28.27
102.07	28.46
102.17	28.2
102.17	28.44
102.17	28.38
102.18	28.55
102.12	28.47
102.21	28.39
102.17	28.55
102.1	28.19
101.74	28.25
101.91	28.58
102.18	28.39
102.22	28.56
101.18	28.55
102.13	28.99
102.18	28.35
102.19	28.35
102.25	28.32
102.11	28.44
103.04	28.16
102.08	28.14
102.98	28.27
103.05	28.57
102.94	28.45
102.76	27.04
102.74	27.04
102.62	27.68
102.61	27.68
102.49	27.48
102.54	27.4
102.56	27.33
102.47	27.48
102.45	27.56
102.6	27.61
102.47	27.5
102.75	27.64
103.14	27.62
102.72	27.94
102.84	28.01
102.98	28.07
103	28.12
102.77	27.91
102.86	28.03
102.76	27.94
102.95	28.05
102.77	27.94
102.49	27.83
102.73	28.21
102.77	27.92
102.85	27.96
102.41	28.31
102.35	28.32
102.32	28.35
102.38	28.32
102.33	28.34
102.56	28.94
102.58	29.13
102.59	28.04
102.86	29.15
102.56	28.9
103.8	28.43
103.71	28.27
103.65	28.3
103.72	28.24
103.55	28.48
103.74	28.25
103.67	28.54
102.49	28.55
102.54	28.7
102.51	28.64
102.64	28.5
102.66	28.48
102.53	28.66
102.55	28.67
102.46	28.6
102.53	28.7
102.5	28.67
102.53	28.63
102.5	28.6
102.51	28.57
101.99	27.75
102.51	28.63
102.51	28.59
102.5	28.59
102.54	28.69
102.47	28.71
102.47	28.54
102.51	28.66
101.43	28.06
101.49	28.09
101.91	28.5
101.22	28.13
100.86	28.16
100.92	28.7
100.75	27.96
100.68	28.88
